
0x3022...48d2|6,136,068,738.6966|15,134.17|711.7%|
0xe522...8090|9,831,319,387.6066|24,231.09|712.2%|
0xb64e...8A6A|957,000,000.0000|2,348.93|715.1%|
0xd588...cBcB|642,862,340.5565|1,577.80|715.2%|
0x71EB...0A76|326,000,000.0000|800.00|715.3%|
0xC7f2...fE1E|539,570,870.3177|1,322.37|716.2%|
0xBdc3...4e6A|910,504,701.5592|2,230.93|716.4%|

0xAbD0...511D|946,989,999.0000|2,316.35|717.6%|
0x4336...08aF|8,104,069,482.4041|19,792.40|718.7%|
0x1ab2...1513|224,036,520.9283|546.16|720.0%|
0xAd12...B5B1|800,679,436.9082|1,951.21|720.3%|
0x8a6d...1cF0|955,289,749.5746|2,327.78|720.3%|
0xbaC7...0639|2,145,524,913.0081|5,218.24|721.7%|
0x4Be0...09E9|205,611,330.9703|500.00|721.8%|
0x8faA...2c37|329,591,055.1501|800.00|723.2%|
0x26aA...8e8f|1,599,042,846.4802|3,880.94|723.2%|
0xdadf...e583|811,329,112.7453|1,968.28|723.5%|
0xC578...65a5|250,000,000.0000|605.74|724.4%|
0x1682...4770|565,068,316.2838|1,368.28|724.9%|
0x7E52...81de|986,564,717.0698|2,386.47|725.6%|
0x2895...8423|529,626,374.5109|1,275.20|729.0%|
0x1B71...eA72|813,063,639.6761|1,957.41|729.1%|
0x140E...0351|3,625,000,000.0000|8,714.00|730.2%|
0x0B6C...59e7|648,675,676.0185|1,558.72|730.5%|
0x2fA2...71Be|257,357,675.1828|618.10|730.8%|
0xF698...1a6F|2,135,919,370.1448|5,116.87|732.7%|
0xebFa...Af2c|800,000,000.0000|1,916.00|732.9%|

0xcfBC...55E8|3,259,222,410.1845|7,797.10|733.7%|
0x4695...bBa9|269,071,283.6548|643.16|734.3%|
0x9216...499f|1,608,065,359.3992|3,833.18|736.4%|
0x1468...8c0e|365,419,130.3341|870.27|737.0%|
0xC7D7...8A03|500,416,632.7339|1,190.05|738.1%|
0x32F3...EaC3|441,590,843.3933|1,050.00|738.2%|
0xE969...703F|1,601,645,577.2054|3,804.43|739.0%|
0x0483...809D|454,937,681.1759|1,080.00|739.4%|
0xc1E0...4874|601,019,656.0246|1,425.17|740.2%|
0x008E...BC9B|442,959,832.8088|1,050.00|740.5%|
0xde80...a1eC|212,117,893.1062|502.66|740.7%|
0xD7E2...A916|300,000,000.0000|710.00|741.7%|
0x740C...13c2|242,169,889.3069|571.44|743.9%|
0xad07...4a0e|486,762,756.0000|1,148.46|744.0%|
0x820B...8504|315,254,835.5543|738.62|749.2%|
0x6651...206F|6,549,468,461.9592|15,239.50|754.4%|
0xffdD...5A4a|215,998,000.0000|502.25|754.9%|
0x7C26...2FA6|438,368,968.7963|1,016.00|757.3%|
0x4771...b7a0|1,107,152,898.9752|2,561.76|758.6%|
0x823A...C451|388,805,604.5153|899.50|758.7%|

0xEe12...1748|756,112,940.1785|1,747.21|759.6%|
0x4862...FBA3|456,194,192.9719|1,048.32|763.8%|
0x2D21...530c|821,497,156.8824|1,885.40|764.8%|
0xE8Df...57E1|870,266,437.6773|1,995.54|765.5%|
0x1947...1669|234,301,056.4679|537.24|765.5%|
0x6F4f...e4dE|264,893,216.8290|606.84|766.2%|
0xaEAB...02C3|1,023,310,706.4289|2,332.80|770.0%|
0x9DD0...20b9|3,420,331,108.8409|7,776.95|772.0%|
0xd1E3...9ec5|590,544,663.5899|1,339.83|773.7%|
0xD119...FaD1|390,000,000.0000|882.00|776.1%|
0x5982...B22E|221,148,640.6230|500.00|776.4%|
0xeA0F...e2aF|912,315,406.2761|2,062.02|776.6%|
0x5d5e...8f85|426,831,740.7136|964.24|777.0%|
0xb221...e373|848,506,187.0970|1,911.00|779.4%|
0x5189...b942|442,407,478.3367|996.07|779.6%|
0x241c...13D2|222,222,222.0000|500.00|780.1%|
0xc874...99C1|7,575,767,933.9420|17,015.72|781.5%|
0x90e4...31A1|850,000,000.0000|1,907.00|782.4%|
0x7546...b0E9|222,929,993.2668|500.00|782.6%|
0x43fF...8f6A|249,543,243.0194|552.93|792.2%|

